key,en,fr,es,de,ru,nl,ja,zh,pt-BR
passive_radiocheck_caption_00,Radio check.,Vérification radio.,Verificación de radio.,Radio-Check.,Радио проверка.,Radio check.,無線確認。,无线电检查。,verificação do rádio.
passive_statusclear_caption_00,Status report: all clear.,Rapport de situation: Tout bon.,Informe de estado: todo despejado.,Statusbericht: alles klar.,Отчет о состоянии: все ясно.,Status rapport: allemaal duidelijk.,ステータス: オールクリア,状态报告:一切正常。,relatório de status: tudo claro.
pete_PSA_00_liability_caption_00,Hey employees - Science Pete here.,"Salut, employées - ici Science Pete.","Hola empleados, soy Peter Ciencia.",Hey Mitarbeiter - Wissenschaft Pete hier.,"Эй, сотрудники - Наука Пит здесь.",Hey werknemers - Science Pete hier.,やぁ、従業員諸君。サイエンス・ピートだ。,嘿，员工们，我是科学皮特。,Hey funcionários - Ciência Pete aqui.
pete_PSA_00_liability_caption_01,Did you know that 60% of nonfatal workplace accidents result in contract termination?,Saviez-vous que 60% des accidents non mortels sur votre lieu de travail résultent en liscenciment?,¿Sabían que el 60% de los accidentes laborales no fatales resultan en la rescisión de contratos?,"Wissen Sie, dass 60% der nicht-tödlicher Arbeitsunfälle in Vertragsauflösung?","Знаете ли вы, что 60% от несмертельных несчастных случаев на рабочем месте в результате расторжения договора?",Wist u dat 60% van de niet-fatale arbeidsongevallen leiden tot beëindiging van de overeenkomst?,業務中の事故で怪我人が出たケースの6割は契約終了につながるんだ。知っていたかい？,你知道60%的非致命工伤事故会导致合同终止吗？,Você sabia que 60% dos acidentes de trabalho não fatais resultar na rescisão do contrato?
pete_PSA_00_liability_caption_02,Work safe: keep liability down.,Travaillez sûrement: limitez les risques.,Trabajen de forma segura: mantengan baja la responsabilidad.,Arbeit sicher: keep Haftung nach unten.,Работа в безопасности: Держать ответственность вниз.,Veilig werken: houd aansprakelijkheidsregeling.,安全第一、首を大事に。,安全工作:降低风险。,seguro de trabalho: manter a responsabilidade para baixo.
pete_PSA_01_causal_caption_00,"Hey there, loyal employees.","Salut, fidèle employés","Hola, empleados leales.","Hey, loyale Mitarbeiter.","Эй там, лояльные сотрудники.","Hey there, loyale medewerkers.",やぁ、忠実なる従業員諸君。,嘿，忠诚的员工们。,"Hey lá, funcionários leais."
pete_PSA_01_causal_caption_01,Apparently there's some confusion with folks thinking we have casual Fridays.,"Apparement, il y a certaines confusions avec des gens qui pensent que l'on fait des casual Fridays.",Aparentemente hay cierta confusión con la gente que piensa que tenemos viernes casuales.,Offenbar gibt es einige Verwirrung mit Leuten denken wir zufälligen Freitag haben.,"По-видимому, есть некоторая путаница с людьми, думая, что мы имеем случайные пятницы.",Blijkbaar is er enige verwarring met mensen denken dat we hebben casual Friday.,どうやらカジュアル[Casual]フライデーがあると思って混乱している者がいるそうだね。,很明显，有些人误认为我们有休闲星期五。,Aparentemente há alguma confusão com pessoas que pensam que temos sextas-feiras casuais.
pete_PSA_01_causal_caption_02,This is a common mix up! We actually practice <i>causal</i> Fridays:,C'est une confusion répendue! Nous faisons plutôt des <i> causal</i> Fridays:,"¡Ese es un error común! De hecho, practicamos los viernes <i>causales</i>:",Dies ist eine gemeinsame mischen! Wir üben eigentlich <i> kausale </ i> Freitag:,Это общая перепутать! Мы на самом деле практика <I> причинных </ I> пятниц:,Dit is een gemeenschappelijk door elkaar halen! We eigenlijk oefenen <i> causaal </ i> Vrijdag:,これはよくある間違いで、うちが実践しているのはコーザル[Causal]フライデーの方なんだ。,这是常见的错误！实际上我们有<i>修炼</i>星期五:,Este é um comum misturar! Nós realmente praticar <i> causais </ i> sextas-feiras:
pete_PSA_01_causal_caption_03,a day to raise awareness of causality conflicts that could destabilise time itself!,Il s’agit d'une journée pour sensibiliser par rapport aux conflits de causalité qui pourrait déstabiliser le temps lui même!,¡Un día para concienciar sobre los conflictos de causalidad que podrían desestabilizar el tiempo mismo!,"einen Tag, um das Bewusstsein der Kausalität Konflikte, die Zeit selbst destabilisieren könnte!","в день для повышения осведомленности о причинных конфликтах, которые могли бы дестабилизировать само время!",een dag om bewustmaking van causaliteit conflicten die tijd zelf kunnen destabiliseren!,時間自体が不安定になりかねない因果[コーザル]の矛盾に気を付けるんだよ。,提高对可能破坏时间稳定的因果冲突的认识！,um dia para aumentar a consciência dos conflitos de causalidade que poderia desestabilizar o próprio tempo!
pete_PSA_01_causal_caption_04,Work safe.,Travaillez en toute sécurité.,Trabajen de forma segura.,Arbeit sicher.,Работа в безопасности.,Werk veilig.,安全第一。,安全工作。,seguro de trabalho.
pete_PSA_02_underground_caption_00,"Hey there, new employee. Science Pete here.","Salut, Nouvel employé. Ici Science Pete.","Hola, nuevo empleado. Soy Peter Ciencia.","Hey, neue Mitarbeiter. Wissenschaft Pete hier.","Эй, там, новый сотрудник. Наука Пит здесь.","Hey there, nieuwe werknemer. Science Pete hier.",やぁ、新入り従業員諸君。サイエンス・ピートだ。,嘿，新员工。我是科学皮特。,"Olá, novo funcionário. Ciência Pete aqui."
pete_PSA_02_underground_caption_01,I just wanted to let you know on behalf of Planck that we are so happy to have you here.,Je voulais vous faire savoir de la part de Planck que nous sommes hereux que tu soit ici.,Solo quería hacerle saber en nombre de Planck que estamos muy contentos de tenerlo aquí.,"Ich wollte nur, damit Sie im Namen von Planck wissen, dass wir so glücklich sind, dass Sie hier sind.","Я просто хотел, чтобы вы знаете, от имени Планка, что мы так рады, что вы здесь.",Ik wilde alleen maar om u te laten weten namens Planck dat we zijn zo blij dat je er bent.,プランクを代表して、君たちがここに来てくれたことをとても嬉しく思うよ。,我只是想代表普朗克告诉你，我们欢迎你的加入。,Eu só queria que você saiba em nome de Planck que somos tão feliz de tê-lo aqui.
pete_PSA_02_underground_caption_02,"Did you know that Planck Interdimensional ranks in the top 5% for worker contentment,","Saviez vous que Planck interdimensional est classé dans les 5 premiers % des entreprises ayant les employés les plus satisfaits,",¿Sabía que Planck Interdimensional se ubica en el 5% superior en lo que refiere a satisfacción del trabajador?,"Wissen Sie, dass Planck Interdimensional rangiert in der Top 5% für Arbeitnehmer Zufriedenheit,","Знаете ли вы, что Планк Межпространственный занимает в топе 5% для работников довольства,","Wist u dat Planck Interdimensional staat in de top 5% voor de werknemer tevredenheid,",労働者の満足度ランキングの上位5%にプランクが入っていることを知っていたかな。,你知道吗，普朗克多维在员工满意度方面排名前5%，,"Você sabia que Planck Interdimensional classifica no top 5% para contentamento trabalhador,"
pete_PSA_02_underground_caption_03,when adjusted for depressive symptoms brought on by being trapped underground for years at a time?,"du moins, une fois que les symtomes dépresifs soit passé après être enfermé sous terre depuis des anneés.",...¿al ajustarse a los síntomas depresivos provocados por estar atrapado bajo tierra durante años?,"wenn für depressive Symptome eingestellt, indem sie gefangen U-Bahn seit Jahren zu einer Zeit gebracht?","с поправкой на депрессивные симптомы, вызванные в ловушке под землей в течение многих лет, в то время?",gecorrigeerd voor depressieve symptomen doordat ze ondergronds opgesloten voor de komende jaren in een tijd bracht aan de hand?,これは、何年も地下の作業に従事してうつ病にさせることで達成できた数字なんだ。,如果不考虑被困在地下多年所带来的抑郁症状的话。,quando ajustado para sintomas depressivos provocadas por ser presos no subsolo durante anos em um momento?
pete_PSA_02_underground_caption_04,"Remember: it isn't just a job, this is your life now.","Rappelez vous: ce n'est pas juste un job, c'est maintenant votre vie.","Recuerde: no es solo un trabajo, esta es su vida ahora.","Denken Sie daran: Es ist nicht nur ein Job ist, das ist dein Leben jetzt.","Помните: это не просто работа, это ваша жизнь теперь.","Denk eraan: het is niet alleen een baan, dit is nu je leven.",もはや仕事ではなく人生なんだよ。忘れないようにね。,记住:这不仅仅是一份工作，这是你的生活。,"Lembre-se: não é apenas um trabalho, esta é sua vida agora."
pete_PSA_03_sleep_caption_00,"Hey, Science Pete here.","Salut, ici Science Pete.","Hola, Soy Peter Ciencia.","Hey, Wissenschaft Pete hier.","Эй, Наука Пит здесь.","Hey, Science Pete hier.",やぁ、サイエンス・ピートだ。,嘿，我是科学皮特。,"Hey, Ciência Pete aqui."
pete_PSA_03_sleep_caption_01,Did you hear about the employee who fell asleep on the job and <i>didn't</i> get killed in a preventable accident?,Avez vous entendu parler de l'employé qui avait fait une sièste sur son lieu de travail et qui <i>n'est pas</i> mort d'un accident évitable?,¿Se ha enterado sobre el empleado que se quedó dormido en el trabajo y <i>no</i> murió en un accidente prevenible?,"Hören Sie über die Mitarbeiter, der auf dem Job einschlief und <i> nicht </ i> erhalten in einem vermeidbaren Unfall getötet?","Слышали ли вы о сотруднике, который заснул на работе и <я> не </ я> убить в предотвратимой аварии?",Heb je gehoord over de werknemer die slaap op de baan viel en <i> niet </ i> gedood in een vermijdbare ongeval?,仕事中の居眠りで事故を起こしても生還した人の話、聞いたことがあるかい？,你听说过员工在工作时睡着，却<i>没有</i>在可预防的事故中丧生吗？,Você ouviu sobre o empregado que adormeceu no trabalho e <i> não </ i> ser morto em um acidente evitável?
pete_PSA_03_sleep_caption_02,Neither did I.,Moi non plus.,Yo tampoco.,Weder tat I.,Ни я тоже,Ik ook niet.,僕はないね。,我也没听说过,Nem eu.
pete_PSA_03_sleep_caption_03,Work safe: make sure to get 4 hours of sleep every night.,Travaillez en toute sécurité: vous n'avez que 4 heures de sommeil par nuit.,Trabaje de forma segura: asegúrese de dormir 4 horas cada noche.,"Arbeit sicher: Stellen Sie sicher, jede Nacht 4 Stunden Schlaf zu bekommen.","Работа в безопасности: убедитесь, чтобы получить 4 часов сна каждую ночь.",Veilig werken: Zorg ervoor dat u 4 uur slaap per nacht.,安全第一、毎日4時間しっかり寝よう。,安全工作:确保每晚睡4小时。,seguro de trabalho: Certifique-se para obter 4 horas de sono todas as noites.
pete_PSA_04_guardrail_caption_00,"Hey, Planck employees.","Salut, les employés de Planck","Hola, empleados de Planck.","Hey, Planck Mitarbeiter.","Эй, сотрудники Planck.","Hey, Planck medewerkers.",やぁ、プランクの従業員諸君。,嘿，普朗克的员工。,"Hey, os funcionários Planck."
pete_PSA_04_guardrail_caption_01,Did you know that spaghettification has been described as the worst agony a human can suffer?,Saviez vous que la Spaghettification à été décrit comme la pire agonie que l'humain peut resentir?,¿Sabían que la espaguetificación se ha descrito como la peor agonía que puede sufrir un ser humano?,"Wissen Sie, dass Spaghettisierung hat als die schlimmste beschriebene Qual ein Mensch leiden kann?","Знаете ли вы, что спагеттификация был описан как худший агония человек может страдать?",Wist u dat Spaghettification is beschreven als de ergste pijn een mens kan lijden?,スパゲッティ化というのは人間が受ける苦痛としては最悪のものだって、知ってたかな？,你知道吗，阉割被描述为人类所能承受的最大痛苦。,Você sabia que spaghettification tem sido descrito como o pior agonia um ser humano pode sofrer?
pete_PSA_04_guardrail_caption_02,Take proper precaution when working near the reactor core. And remember to never lean on the guardrails!,Veillez prendre les précautions aproprié quand vous travaillez près du cœur du réacteur. Et rappelez vous de ne jamais vous pencher au dessus des barrières,Tome las precauciones adecuadas cuando trabaje cerca del núcleo del reactor. ¡Y recuerde nunca apoyarse en las barandillas!,"Nehmen Sie die richtige Vorsorge, wenn in der Nähe des Reaktorkerns zu arbeiten. Und denken Sie daran, nie an den Leitplanken zu lehnen!","Примите надлежащие меры предосторожности при работе вблизи активной зоны реактора. И помните, что никогда не опереться на перила!",Neem de nodige voorzorgsmaatregelen bij het werken in de buurt van de reactorkern. En vergeet niet om nooit meer leunen op de vangrails!,リアクターコア付近での作業は細心の注意を払い、決してガードレールに寄りかからないように！,在反应堆堆芯附近工作时，采取适当的预防措施。记住永远不要靠在护栏上！,Tome a devida precaução quando se trabalha perto do núcleo do reator. E lembre-se de nunca inclinar-se sobre as grades de proteção!
pete_PSA_04_guardrail_caption_03,They're only there 'cause OSHA says they have to be.,Elles sont juste là parce-que l'OSHA dit qu'il y en à besoin.,Solo están ahí porque OSHA nos obligó.,"Sie sind nur da, weil OSHA sagt sie sein müssen.","Они только там, потому что OSHA говорит, что они должны быть.",Ze zijn er alleen maar omdat OSHA zegt dat ze zo te zijn.,労働局がうるさいから仕方なく設置してるだけなんだ。,把它们放那儿只是因为职业安全管理局的必须要求。,Eles estão lá apenas porque OSHA diz que tem que ser.
pete_PSA_05_sufferl_caption_00,"Good afternoon, employees.","Bonne après midi, employées!","Buenas tardes, empleados.","Guten Tag, Mitarbeiter.","Добрый день, сотрудники.","Goedemiddag, medewerkers.",こんにちは、従業員諸君。,下午好，员工们。,"Boa tarde, funcionários."
pete_PSA_05_sufferl_caption_01,New Caption,"Un homme sage a une fois dit qu'il faut souffrir pour la science.
Veuillez arrêter de soumettre vos plaintes mineur à l'administration, nous sommes au courant des conditions de travail et nous n'allons pas les changer.",Nuevo Subtítulo,New Caption,Новая Подпись,nieuwe Bijschrift,かつて賢人は「科学の進歩に犠牲はつきものだ」と言ったそうだ。だから管理部門につまらない苦情を言うのはやめてくれよ。労働条件なんか言われなくても知ってるし、変更する予定もないんだ。,新字幕,New Caption
pete_PSA_06_hazmat_caption_00,"Hey there employees, Science Pete here with some bad news.","Salut employées, ici Science Pete avec de mauvaises nouvelles.
","Hola empleados, soy Peter Ciencia, vengo con malas noticias.","Hey Mitarbeiter, Wissenschaft Pete hier mit einigen schlechten Nachrichten.","Эй, там сотрудники, Наука Пит здесь с некоторыми плохими новостями.","Hey there medewerkers, Science Pete hier met slecht nieuws.",やぁ、従業員諸君。サイエンス・ピートだ。今日は悪い知らせがある。,嘿，员工们，科学皮特有一些坏消息。,"Hey There funcionários, Ciência Pete aqui com algumas más notícias."
pete_PSA_06_hazmat_caption_01,"Unfortunately, we can't grant your request for more remote presence hazmat drones.",Malheureusement nous ne pouvons pas accepter votre requête d'utiliser des drones anti radiations pour faire du télétravail.,"Desafortunadamente, no podemos aceptar su solicitud de drons capaces de manejar sustancias peligrosas a distancia.",Leider können wir nicht für mehr Remote-Presence-hazmat Drohnen gewähren Ihre Anfrage.,"К сожалению, мы не можем предоставить ваш запрос для более удаленного присутствия HAZMAT трутней.",Helaas kunnen we uw verzoek om meer afgelegen aanwezigheid hazmat drones niet toe te kennen.,残念ながら、危険物処理ドローンの増員は認められない。,不幸的是，我们不能同意你想要更多危险无人机的请求。,"Infelizmente, não podemos conceder o seu pedido para mais drones Hazmat presença remota."
pete_PSA_06_hazmat_caption_02,Company policy demands a human touch!,La politique de l'entreprise requière le toucher humain!,¡La política de la empresa exige un toque humano!,Unternehmenspolitik verlangt eine menschliche Note!,Политика компании требует прикосновения человека!,Bedrijf beleid vraagt ​​om een ​​menselijke touch!,真心こめて、が会社のポリシーだからね。,公司政策要求人性化！,A política da empresa exige um toque humano!
pete_PSA_06_hazmat_caption_03,"Also, those things are damn expensive.","Aussi, ces choses sont super chère.","Además, esas cosas son muy caras.",Auch sind die Dinge verdammt teuer.,"Кроме того, эти вещи чертовски дорого.","Ook, die dingen zijn verdomde duur.",高価すぎてバカバカしいのもある。,还有，那些东西太贵了。,"Além disso, essas coisas são extremamente caros."
pete_PSA_06_hazmat_caption_04,"In the words of one board member, [quot]just put some rubber gloves on, you sissies. It's not <i>that</i> much radiation.[quot]","Comme l'a dit un de nos membres du comité, [quot]Met juste des gants en plastoque mauviette. Il n'y à pas <i>autant</i> de radiations .[quot]","Como dijo un miembro de la junta, [quot]simplemente póngase unos guantes de goma, mariquitas[quot]. No es <i>tanta</i> radiación[quot].","In den Worten eines Vorstandsmitglied, [quot] setzen einige Gummihandschuhe nur auf, du Weichlinge. Es ist nicht <i>, dass </ i> viel Strahlung. [Quot]","По словам одного из членов совета директоров, [Quot] просто положить некоторые резиновые перчатки, вы бабы. Это не <я>, что </ я> много излучения. [Quot]","In de woorden van een bestuurslid, [quot] gewoon wat rubber handschoenen aan, mietjes u. Het is niet <i> dat </ i> veel straling. [Quot]",取締役いわく「臆病者にはゴム手袋でもさせておけ、放射線なんて大したことはない」だそうだよ。,用董事会成员的话来说，[quot]戴上橡胶手套，你们这些娘炮。辐射<i>没那么</i>厉害。[quot],"Nas palavras de um membro do conselho, [quot] basta colocar algumas luvas de borracha, você mariquinhas. Não é <i> que </ i> quantidade de radiação. [Quot]"
receiving_codeconfirmed_caption_00,Code confirmed.,Code confirmé.,Código confirmado.,Code bestätigt.,Код подтвердил.,Code bevestigd.,コード確認。,代号已确认。,Código confirmada.
receiving_confirmed_caption_00,Confirmed.,Confirmé.,Confirmado.,Bestätigt.,Подтверждено.,Bevestigd.,確認した。,已确认,Confirmado.
receiving_received_caption_00,Recieved.,Recieved.,Recibido.,Empfing.,ПОЛУЧАЛ.,Ontvangen.,受信した。,收到。,Recebido.
receiving_registered_caption_00,Registered.,Inscrit.,Registrado.,Eingetragen.,Дата регистрации.,Geregistreerd.,登録した。,已注册。,Registrado.
receiving_roger_caption_00,Roger.,Roger.,Entendido.,Roger.,Роджер.,Roger.,了解。,收到。,Roger.
receiving_wayahead_caption_00,Way ahead of you.,Loin devant toi.,Ya me le adelanté.,Ein Stück voraus.,Путь впереди вас.,Manier voor je.,先行する。,早想到了。,frente maneira de você.
right,Right,Droite,Correcto,Richtig,Правильно,Rechtsaf,右,右,Certo
set_apply,Apply,Appliquer,Aplicar,Anwenden,Подать заявление,Van toepassing zijn,適用,应用,Aplique
set_applyConfirm,Apply Changes?,Voulez-vous Appliquer les Changements?,¿Aplicar los cambios?,Änderungen übernehmen?,Применять изменения?,Wijzigingen toepassen?,変更を適用しますか？,应用更改？,Aplicar mudanças?
set_graphics,Graphics,Graphismes,Gráficos,Grafik,Графика,grafiek,グラフィック,画面,Gráficos
set_audio,Audio,Audio,Audio,Audio,аудио,audio,オーディオ,声音,auditivo
set_auto,None,Aucun,Ninguno,Keiner,Никто,Geen,なし,无,Nenhum
set_calibrateSeated,Calibrate Seated Height,Calibrer la Hauteur Assise,Calibrar la Altura,Kalibrieren Sitzhöhe,Калибровка Усаженной Высота,Calibrate Zittend Hoogte,キャリブレート,校准坐下高度,Calibrar Sentado Altura
set_captions,Captions:,Sous-titres: ,Subtítulos:,Bildunterschriften:,Титры:,ondertiteling:,字幕:,字幕：,Legendas:
set_difficulty,Difficulty,Difficulté,Dificultad,Schwierigkeit,трудность,moeilijkheid,難易度,难度,Dificuldade
set_dominantHand,Dominant Hand:,Main dominante:,Mano Dominante:,Dominant Hand:,Доминирующую руку:,Dominante hand:,利き手:,惯用手：,Mão dominante:
set_easy,Easy,Facile,Fácil,Einfach,Легко,Gemakkelijk,Easy,简单,Fácil
set_easy_desc,A more laid-back experience. Enemies react slower and do slightly less damage.,Une expérience décontracté. Les ennemis réagissent plus lentement et font moins de dégats.,Una experiencia más relajada. Los enemigos reaccionan más lentamente y hacen un poco menos de daño.,Eine entspannte Erfahrung. Feinde reagieren langsamer und etwas weniger Schaden.,Более непринужденный опыт. Враги реагируют медленнее и сделать немного меньше урона.,Een meer relaxte ervaring. Vijanden reageren trager en doen iets minder schade.,より緩やかなゲーム体験。敵の反応が遅くなり、被ダメージがわずかに減少。,更轻松的体验。敌人反应较慢，造成的伤害较小。,Uma experiência mais descontraído. Inimigos reagir mais lento e fazer um pouco menos danos.
set_fov,Comfort FOV Reduction:,Reduction du FOV:,Reducción del campo de visión para más comodidad:,Comfort FOV Reduktion:,Комфорт FOV Снижение:,Comfort FOV Reductie:,酔い防止のFOV低減:,舒适FOV减少:,Comfort FOV Redução:
set_gameplay,Gameplay,Gameplay,Jugabilidad,Spielweise,Игровой процесс,gameplay,ゲーム設定,游戏性,gameplay
set_graphicsQual,Graphics Quality:,Qualité Graphique:,Calidad de los Gráficos:,Grafikqualität:,Качество графики:,Grafische kwaliteit:,クオリティ:,画面质量：,Qualidade grafica:
set_Hand,Hand,Main,Mano,Hand,Рука,Hand,手,手,Mão
set_hard,Hard,Dur,Difícil,Schwer,Жесткий,Moeilijk,Hard,困难,Difícil
set_hard_desc,"Enemies are faster, smarter, more aggressive, and do more damage. Not for the faint of heart.","Les Enemies sont plus rapide, plus inteligent, plus agréssifs et font plus de dégats. Âmes sensibles s'abstenir.","Los enemigos son más rápidos, más inteligentes, más agresivos y causan más daño. No para los débiles de corazón.","Feinde sind schneller, intelligenter und aggressiver, und mehr Schaden anrichten. Nicht für schwache Nerven.","Враги быстрее, умнее, более агрессивные, и наносят больше повреждений. Не для слабонервных.","Vijanden zijn sneller, slimmer, agressiever en meer schade aanrichten. Niet voor de zwakkeren van hart.",素早く、賢く、積極的なエネミーと被ダメージ増加。上級者向け。,敌人更快、更聪明、更具攻击性，并且伤害更高。不适合胆小的玩家。,"Os inimigos são mais rápidos, mais inteligente, mais agressivo, e fazer mais danos. Não para o fraco de coração."
set_Head,Head,Tête,Cabeza,Kopf,Глава,Hoofd,頭,头部,Cabeça
set_locomotion,Locomotion,Locomotion,Locomoción,Fortbewegung,передвижение,voortbeweging,ロコモーション,移动,Locomoção
set_mirror,Swap Hand Input:,Echanger les entrées de mains:,Intercambiar Entrada de Mano:,Swap Hand Input:,Своп Ручной вход:,Swap Hand Input:,LRスティック入れ替え,切换手部输入：,Troca de Mão de entrada:
set_musicvol,Music Volume:,Volume de la musique:,Volumen de la Música:,Musiklautstärke:,Громкость музыки:,Muziekvolume:,BGM音量:,音乐音量：,Volume da música:
set_normal,Normal,Normal,Normal,Normal,Нормальный,normaal,Normal,正常,Normal
set_normal_desc,Default difficulty. A solid challenge and the recommended experience.,Difficulté par défaut. Un bon défi et l'experience recommandé,Dificultad predeterminada. Un desafío justo y la experiencia recomendada.,Standard Schwierigkeiten. Eine solide Herausforderung und die empfohlene Erfahrung.,По умолчанию трудности. Сплошная вызов и рекомендуемый опыт.,Default moeilijkheid. Een stevige uitdaging en de aanbevolen ervaring.,通常の難易度。ほどよい歯ごたえのおすすめ設定。,默认难度。不错的挑战和推荐的体验。,dificuldade padrão. Um desafio sólida ea experiência recomendado.
set_noTurn,None,Aucun,Ninguno,Keiner,Никто,Geen,なし,无,Nenhum
set_increment,Increment,Incrément:,Incremento,Zuwachs,инкремент,aanwas,増加,增量,Incremento
set_orient,Orientation:,Orientation:,Orientación:,Orientierung:,Ориентация:,oriëntatie:,進行方向:,方向:,Orientação:
set_speed,Speed:,Vitesse:,Velocidad:,Geschwindigkeit:,Скорость:,Snelheid:,スピード:,速度:,Rapidez:
set_reverb,Dynamic Reverb:,Reverberation dynamique:,Reverberación Dinámica:,Dynamische Reverb:,Динамический Reverb:,Dynamic Reverb:,ダイナミックリバーブ:,动态混响:,Dinâmica Reverb:
set_revert,Revert,Revenir,Revertir,Zurückkehren,Revert,Terugdraaien,元に戻す,反转,Reverter
set_water,GPU water dynamics:,Dynamique des fluides acceleré par le GPU:,Dinámica del agua de la GPU:,GPU Wasserdynamik:,динамика GPU воды:,GPU water dynamiek:,GPUウォーターダイナミクス:,GPU水动力:,GPU dinâmica da água:
set_screenshake,Screen Shake:,Tremblement de Caméra,Sacudida de Pantalla:,Bildschirm schütteln:,Screen встряска:,Screen Shake:,画面ゆれ:,屏幕抖动:,Tremor da tela:
set_seatedMode,Seated Mode:,Mode Assis:,Modo Sentado:,Seated Modus:,Сидящая режим:,Zitplaatsen Mode:,座位モード:,坐式模式:,Modo assentado:
set_smooth,Smooth,Fluide,Suave,Glatt,Гладкий; плавный,Glad,スムーズターン,平滑,Suave
set_smoothLoco,Smooth Locomotion:,Locomotion continue:,Locomoción Suave:,Glatte Locomotion:,Гладкая Locomotion:,Smooth Locomotion:,スムーズロコモーション:,平滑移动：,Alisar Locomotion:
set_snap,Snap,Snap,Snap,Druckknopf,Щелчок,breuk,スナップターン,瞬间,estalo
set_turnFast,Fast,Vite,Rápido,Schnell,Быстро,Snel,速い,快,Rápido
set_turning,Turning:,Rotation:,Giro:,Drehen:,Превращение:,Draaien:,回転方法:,转动：,Girando:
set_turnMedium,Med,Moy,Mediano,Med,Med,Med,通常,中,Med
set_turnSlow,Slow,Lent,Lento,Langsam,Медленный,Langzaam,遅い,慢,Lento
sight_anomalysighted_caption_00,Anomaly sighted.,Anomalie aperçue.,Anomalía avistada.,Anomaly gesichtet.,Аномалия увидели.,Anomaly waargenomen.,エイリアンを視認。,发现异形。,Anomalia avistado.
sight_anomalyspotted_caption_00,Anomaly spotted.,Anomalie repérée.,Anomalía detectada.,Anomaly gesichtet.,Аномалия пятнистый.,Anomaly gespot.,エイリアンを発見した。,发现异形。,Anomalia manchado.
sight_code6_caption_00,Code 6.,Code 6.,Código 6.,Code 6.,Код 6.,Code 6.,コード6。,代号6。,Código 6.
sight_code6spotted_caption_00,Code 6 spotted.,Code 6 repéré.,Código 6 detectado.,Code 6 gefleckt.,Код 6 пятнистый.,Code 6 gespot.,コード6を発見した。,发现代号6。,Código 6 manchado.
sight_sightedanomaly_caption_00,Sighted anomaly.,J'ai aperçu une anomalie.,Anomalía avistada.,Sichtete Anomalie.,Зрячих аномалия.,anomalie waargenomen.,エイリアンを視認。,发现异形。,Avistado anomalia.
sight_spottedanomaly_caption_00,Spotted anomaly.,J'ai repéré l'anomalie.,Anomalía detectada.,Spotted Anomalie.,Пятнистая аномалия.,anomalie gezien.,エイリアンを発見した。,发现异形。,Manchado anomalia.
sightplayer_c7_caption_00,Code 7.,Code 7.,Código 7.,Code 7.,Код 7.,Code 7.,コード7。,代号7。,Código 7.
sightplayer_code7_caption_00,Sighted code 7.,Code 7 aperçu.,Código 7 detectado.,Sighted Code 7.,Плоховидящий код 7.,Slechtzienden code 7.,コード7を発見。,发现代号7。,código Sighted 7.
sightplayer_humanoid_caption_00,Humanoid spotted.,Humanoïde repéré.,Humanoide detectado.,Humanoid gesichtet.,Гуманоид пятнистый.,Humanoid gespot.,ヒューマノイドを発見。,发现人形怪。,Humano manchado.
sightplayer_humanoidcode7_caption_00,Humanoid spotted. Likely code 7.,"Humanoïde repéré, probablement code 7.",Humanoide detectado. Probable código 7.,Humanoid gesichtet. Wahrscheinlich Code 7.,"Гуманоид пятнистый. Скорее всего, код 7.",Humanoid gespot. Waarschijnlijk code 7.,ヒューマノイドを発見。恐らくコード7だ。,发现人形怪。可能是代号7。,Humano manchado. Provável código de 7.
sightplayer_intruder_caption_00,Humanoid intruder spotted.,intrus Humanoïde repéré.,Intruso humanoide detectado.,Humanoid Eindringling entdeckt.,Гуманоид взломщик пятнистый.,Humanoid indringer gespot.,侵入者のヒューマノイドを発見。,发现人形入侵者。,intruso Humanoid manchado.
sightplayer_sentientanomaly_caption_00,Sentient anomaly.,Anomalie consciente.,Anomalía pensante.,Sentient Anomalie.,Sentient аномалия.,Sentient anomalie.,知性のあるエイリアンだ。,有生异形。,anomalia Sentient.
sightplayer_spotted_caption_00,Code 7 spotted.,Code 7 repéré.,Código 7 detectado.,Code 7 gesichtet.,Код 7 пятнистый.,Code 7 gespot.,コード7を発見。,发现代号7。,Código 7 manchado.
spec_drone,Spectator Drone,Drone Spectateur,Dron Espectador,Zuschauer Drone,Зритель Drone,Spectator Drone,観戦ドローン,观察无人机,espectador Drone
spec_fov,Field of View:,Champ de vision:,Campo de Visión:,Sichtfeld:,Поле зрения:,Gezichtsveld:,視野角:,视场:,Campo de visão:
spec_hd,HD Spectator View,Vue Spectateur HD,Vista de Espectador HD,HD Zuschauer Ansicht,HD Spectator Посмотреть,HD Spectator View,高画質観戦ビュー,高清观察视角,HD Spectator Ver
spec_hp,Show Player Health,Afficher la Santé du Joueur,Mostrar Vida del Jugador,Show-Player Gesundheit,Показать здоровье игрока,Show Player Health,ヘルス表示,显示玩家生命,Mostrar Saúde Jogador
spec_none,No Spectator View,Vue Spectateur Désactivé,Sin Vista de Espectador,Kein Zuschauer Ansicht,Нет Зритель Просмотр,Geen Spectator View,観戦ビューなし,无观察视角,Sem Spectator Ver
spec_quality,Reduce quality in-headset,Réduire la qualité dans le casque,Reducir la Calidad de los Auriculares,Reduzieren Sie Qualität in-Headset,Снижение качества в-гарнитуры,Verlaag kwaliteit in-headset,ヘッドセット側の画質低減,降低头显中画质,Reduzir a qualidade in-auriculares
